Score,Title,Company,Location,Salary,URL,Match Reasons,Rejection Reasons,FetchedAt
93,Principal Product Manager,ClickUp,Remote,,https://jobs.ashbyhq.com/clickup/312d217b-dc4a-43b4-8bd3-6d24e342fd90,"Role matches Product Manager; Job is listed as remote but region criteria is not explicitly stated; Seniority matches target profile (Senior/Lead/Leadership); Matches preferred domain(s): SaaS, B2B SaaS; Has AI or technical relevance: matching ai, artificial intelligence, machine learning",,2026-06-27T11:52:46.000Z
92,Senior Product Manager,Toggl,Anywhere in the World,,https://weworkremotely.com/remote-jobs/toggl-senior-product-manager-4,"Role matches Product Manager; Location is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Seniority matches target profile (Senior/Lead/Leadership); Matches preferred domain(s): SaaS, B2B SaaS; Has AI or technical relevance: matching ai",,2026-06-27T11:52:46.000Z
91,Product Manager - B2B SaaS (Martech) - Europe,Insider One,Anywhere in the World,,https://weworkremotely.com/remote-jobs/insider-one-product-manager-b2b-saas-martech-europe,"Role matches Product Manager; Location is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Matches preferred domain(s): SaaS, B2B SaaS; Has AI or technical relevance: matching ai, artificial intelligence, cloud",,2026-06-27T11:52:46.000Z
91,"Senior Product Manager, AI Platform Management",GitLab,"Remote, Ireland; Remote, Israel; Remote, United Kingdom",,https://job-boards.greenhouse.io/gitlab/jobs/8568868002,"Role matches Product Manager; Job is listed as remote but region criteria is not explicitly stated; Seniority matches target profile (Senior/Lead/Leadership); Matches preferred domain(s): SaaS, B2B SaaS; Has AI or technical relevance: matching ai, agentic",,2026-06-27T11:52:46.000Z
88,Staff Product Manager (Accounts & Billing),Netlify,Remote,,https://job-boards.greenhouse.io/netlify/jobs/8603630002,"Role matches Product Manager; Job is listed as remote but region criteria is not explicitly stated; Seniority matches target profile (Senior/Lead/Leadership); Matches preferred domain(s): SaaS; Has AI or technical relevance: matching ai, agents, analytics",,2026-06-27T11:52:46.000Z
88,"Staff/Principal Product Manager, Database",Pinecone,US Remote,,https://jobs.ashbyhq.com/pinecone/7261adcb-026d-4552-8f89-7a46156c40c5,"Role matches Product Manager; Job is listed as remote but region criteria is not explicitly stated; Seniority matches target profile (Senior/Lead/Leadership); Matches preferred domain(s): SaaS; Has AI or technical relevance: matching ai, infrastructure, cloud",,2026-06-27T11:52:46.000Z
86,Product Manager,Nearcut,Anywhere in the World,,https://weworkremotely.com/remote-jobs/nearcut-product-manager,"Role matches Product Manager; Location is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Matches preferred domain(s): SaaS; Has AI or technical relevance: matching ai, analytics",,2026-06-27T11:52:46.000Z
85,"Product Manager, Data Feeds",YipitData,US Remote,,https://job-boards.greenhouse.io/yipitdata/jobs/7883756,"Role matches Product Manager; Job is listed as remote but region criteria is not explicitly stated; Mid-level or unspecified seniority; Matches preferred domain(s): SaaS, B2B SaaS; Has AI or technical relevance: matching infrastructure, cloud",,2026-06-27T11:52:46.000Z
84,Staff Product Manager Product Information Management,HighLevel,Remote,,https://remoteOK.com/remote-jobs/remote-staff-product-manager-product-information-management-highlevel-1133598,"Role matches Product Manager; Job is listed as remote but region criteria is not explicitly stated; Seniority matches target profile (Senior/Lead/Leadership); Matches preferred domain(s): SaaS; Has AI or technical relevance: matching ai, api, infrastructure",,2026-06-22T12:55:44.000Z
84,AI Product Manager,Tether Operations Limited,,,https://remoteOK.com/remote-jobs/remote-ai-product-manager-tether-operations-limited-1130662,"Role matches Product Manager; Job is listed as remote but region criteria is not explicitly stated; Mid-level or unspecified seniority; Matches preferred domain(s): SaaS, FinTech; Has AI or technical relevance: matching ai, ml, technical product",,2026-06-22T12:55:44.000Z
