Score,Title,Company,Location,Salary,URL,Match Reasons,Rejection Reasons,FetchedAt
96,"Product Manager, Risk & Compliance",Stripe,Bengaluru,,https://stripe.com/jobs/search?gh_jid=7625842,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Matches preferred domain(s): SaaS, B2B SaaS; Has AI or technical relevance: matching api, infrastructure",,2026-06-22T12:56:11.000Z
95,Product Manager,Cosuno,Berlin,,https://remoteOK.com/remote-jobs/remote-product-manager-cosuno-1131589,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Requires 5+ years of experience, indicating senior level; Matches preferred domain(s): SaaS, B2B SaaS; Has AI or technical relevance: matching ai, artificial intelligence, llm",,2026-06-22T12:55:44.000Z
95,"Staff Product Manager, Global Expansion",Stripe,Bengaluru,,https://stripe.com/jobs/search?gh_jid=7570242,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Seniority matches target profile (Senior/Lead/Leadership); Matches preferred domain(s): FinTech; Has AI or technical relevance: matching developer platform, infrastructure",,2026-06-22T12:56:11.000Z
95,"Staff Product Manager, Payments",Stripe,"SF, SEA, NYC, Remote",,https://stripe.com/jobs/search?gh_jid=7819059,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Seniority matches target profile (Senior/Lead/Leadership); Matches preferred domain(s): FinTech; Has AI or technical relevance: matching api, infrastructure, analytics",,2026-06-22T12:56:11.000Z
93,Staff Product Manager Product Information Management,HighLevel,Remote,,https://remoteOK.com/remote-jobs/remote-staff-product-manager-product-information-management-highlevel-1133598,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Seniority matches target profile (Senior/Lead/Leadership); Matches preferred domain(s): SaaS; Has AI or technical relevance: matching ai, api, infrastructure",,2026-06-22T12:55:44.000Z
92,"Product Manager, Capital",Stripe,London,,https://stripe.com/jobs/search?gh_jid=7721834,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Requires 5+ years of experience, indicating senior level; Matches preferred domain(s): FinTech; Has AI or technical relevance: matching infrastructure",,2026-06-22T12:56:11.000Z
91,AI Product Manager,Tether Operations Limited,,,https://remoteOK.com/remote-jobs/remote-ai-product-manager-tether-operations-limited-1130662,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Matches preferred domain(s): SaaS, FinTech; Has AI or technical relevance: matching ai, ml, technical product",,2026-06-22T12:55:44.000Z
91,Technical Product Manager,Lavendo,San Francisco,$150.000 - $235.000,https://remoteOK.com/remote-jobs/remote-technical-product-manager-lavendo-1130461,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Matches preferred domain(s): SaaS, B2B SaaS; Has AI or technical relevance: matching ai, agents, technical product",,2026-06-22T12:55:44.000Z
91,"Product Manager, Global Marketplaces",Stripe,London,,https://stripe.com/jobs/search?gh_jid=8009671,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Matches preferred domain(s): FinTech; Has AI or technical relevance: matching technical product, api, infrastructure",,2026-06-22T12:56:11.000Z
91,"Product Manager, Global Payouts – Cross-Border & Enterprise Capabilities",Stripe,"New York, NY",,https://stripe.com/jobs/search?gh_jid=7994443,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Matches preferred domain(s): FinTech; Has AI or technical relevance: matching ai, infrastructure",,2026-06-22T12:56:11.000Z
91,"Product Manager, Payments",Stripe,"SF, NY, SEA, Remote-US",,https://stripe.com/jobs/search?gh_jid=7176530,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Matches preferred domain(s): FinTech; Has AI or technical relevance: matching api, infrastructure, analytics",,2026-06-22T12:56:11.000Z
89,Product Manager,Ripjar,"London, London, England, United Kingdom",,https://remoteOK.com/remote-jobs/remote-product-manager-ripjar-1133665,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Matches preferred domain(s): SaaS; Has AI or technical relevance: matching ai, artificial intelligence",,2026-06-22T12:55:44.000Z
89,"Group Product Manager, Payments Core",Coinbase,Remote - USA,,https://www.coinbase.com/careers/positions/7991474?gh_jid=7991474,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Matches preferred domain(s): FinTech; Has AI or technical relevance: matching ai, machine learning, generative",,2026-06-22T12:56:11.000Z
87,VP of Product and Partnerships,uConnect,Remote,,https://remoteOK.com/remote-jobs/remote-vp-of-product-and-partnerships-uconnect-1131558,"Role matches Leadership Product (Director/Head/VP); Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Seniority matches target profile (Senior/Lead/Leadership); Matches preferred domain(s): SaaS; Has AI or technical relevance: matching ai, infrastructure, analytics",,2026-06-22T12:55:44.000Z
86,Product Manager,Decile Group,Remote,,https://remoteOK.com/remote-jobs/remote-product-manager-decile-group-1131057,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Matches preferred domain(s): SaaS; Has AI or technical relevance: matching ai, analytics",,2026-06-22T12:55:44.000Z
85,"Product Manager, Ecosystem Risk",Stripe,Dublin,,https://stripe.com/jobs/search?gh_jid=7943244,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Requires 7+ years of experience, indicating senior level; Has AI or technical relevance: matching ai, api, infrastructure",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
85,"Product Manager, Ecosystem Risk",Stripe,London,,https://stripe.com/jobs/search?gh_jid=7947422,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Requires 7+ years of experience, indicating senior level; Has AI or technical relevance: matching ai, api, infrastructure",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
85,"Product Manager, EMEA Payments Lead",Stripe,"Dublin, Ireland",,https://stripe.com/jobs/search?gh_jid=7768979,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching api, infrastructure",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
